,STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON,temp_pomrb,temp_premon,temp_monsoon,temp_pomkh,year,STATE_UT_NAME,rain_pomrb,rain_premon,rain_monsoon,rain_pomkh
1,TG,Nalgonda,Turkapalle,M.turkapalle,17.58472222,78.8625,Yadgirigutta1,Bore Well,W04989,2002,15.36,9.68,10.41,15.15,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
2,TG,Nalgonda,Kakinada,Devarakonda,16.64166667,79.06666667,Chennamnenpalli,Dug Well,W04068,2002,4.26,5.1,4.9,5.25,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
3,TG,Nalgonda,Nutankal,Thungathurthi,17.375,79.625,Suryapet,Dug Well,W04971,2002,5.34,3.61,5.34,5.22,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
4,TG,Nalgonda,Tirumalgiri,Thirumalgiri,17.47222222,79.42916667,Tirumalagiri2,Bore Well,W04984,2002,10.55,7.6,10.23,10.25,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
5,TG,Nalgonda,Shaligowraram,Sali Gouraram,17.26527778,79.39166667,Adlur,Bore Well,W04148,2002,18.4,14.99,17.95,6.6,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
6,TG,Nalgonda,Jajireddygudem,Jajireddygudem,17.3,79.53333333,A.ramannagudem,Dug Well,W04147,2002,4.36,4.91,4.49,7.66,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
7,TG,Nalgonda,Yadagirigutta,Yadagirigutta,17.55,78.95833333,Yadgirigutta,Dug Well,W04991,2002,15.47,17.97,15.47,17.97,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
8,TG,Nalgonda,Bommalaramaram,Bommalaramaram,17.56527778,78.73194444,B.Ramaram,Bore Well,W03937,2002,1.96,5.77,2.82,6.5,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
9,TG,Nalgonda,Kattangur,Kattangur,17.15,79.3,Atipamula,Dug Well,W03849,2002,8.15,4.46,8.95,6.35,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
10,TG,Nalgonda,Mote,Mothey,17.16833333,79.80666667,Mothey,Bore Well,W04961,2002,0.98,3.78,2.68,4.89,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
11,TG,Nalgonda,Choutuppal,Choutuppal,17.25,78.91583333,Choutuppal1,Bore Well,W04066,2002,7.19,7.08,5.8,8.43,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
12,TG,Nalgonda,Jajireddygudem,Jajireddygudem,17.33472222,79.50833333,Aravapalle,Bore Well,W03848,2002,12.07,9.74,10.04,12.87,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
13,TG,Nalgonda,Kethepalle,Kethepalle,17.16666667,79.5,Kethupally,Dug Well,W04388,2002,8.35,6.46,9.4,8.2,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
14,TG,Nalgonda,Suryapet,Suryapet,17.13333333,79.62361111,Suryapet1,Bore Well,W04980,2002,6.58,5.25,5.54,6.8,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
15,TG,Nalgonda,Chityal,Chityal_nlg,17.18,79.09722222,Chityal,Dug Well,W04064,2002,12.24,9.46,'0,13.17,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
16,TG,Nalgonda,Atmakur,Atmakur (m),17.46527778,79.14166667,M.atmakur1,Bore Well,W04954,2002,12.91,11.22,11.45,12.04,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
17,TG,Nalgonda,Turkapalle,M.turkapalle,17.65694444,78.79583333,M.turkapalli,Bore Well,W04986,2002,16.01,14.15,14.32,17.1,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
18,TG,Nalgonda,Atmakur,Atmakur (s),17.225,79.69166667,S.Atmakur,Bore Well,W04955,2002,13.82,10.37,13.52,15.1,26.42966667,32.00966667,27.95833333,24.71333333,2002,ANDHRA PRADESH,5.866666667,49,150.5,48.13333333
